frame,CR_matlab,inputBits,totalBits,CR_pad_per_frame,CR_pad_per_ramp,CR_vitis,MaxDiff_vitis,outBits_vitis,deltaCR,padBits,predErr
17,3.30317724663826,3145728,952334,3.30233808116098,3.2,3.30234,0,952576,0.000837246638259792,242,-1.9188390201208e-06
18,3.17408207517756,3145728,991067,3.17355371900826,3.04761904761905,3.17355,0,991232,0.000532075177559932,165,3.71900826001692e-06
19,3.25832259561404,3145728,965444,3.2576882290562,3.2,3.25769,0,965632,0.000632595614039833,188,-1.77094380005016e-06
20,3.25930837836942,3145728,965152,3.25855210819411,3.2,3.25855,0,965376,0.000758378369420054,224,2.108194109951e-06
21,3.23288330090921,3145728,973041,3.23283346487766,3.2,3.23283,0,973056,5.33009092102965e-05,15,3.46487766034187e-06
22,3.25199338793764,3145728,967323,3.25165387668695,3.2,3.25165,0,967424,0.000343387937639772,101,3.87668694967758e-06
23,3.32697494082634,3145728,945522,3.3264753654575,3.2,3.32648,0,945664,0.000494940826339718,142,-4.63454249999273e-06
24,3.40281768147046,3145728,924448,3.40199335548173,3.36842105263158,3.40199,0,924672,0.000827681470459751,224,3.35548172980538e-06
25,3.32915794442175,3145728,944902,3.32827735644637,3.2,3.32828,0,945152,0.000877944421750154,250,-2.64355362977753e-06
26,3.3952005456967,3145728,926522,3.39447513812155,3.36842105263158,3.39448,0,926720,0.000720545696699659,198,-4.86187845005759e-06
27,3.41547170917556,3145728,921023,3.41523068371317,3.36842105263158,3.41523,0,921088,0.00024170917555999,65,6.8371316963578e-07
28,3.41459676377653,3145728,921259,3.41428174492915,3.36842105263158,3.41428,0,921344,0.000316763776529783,85,1.74492914961633e-06
29,3.43155602777772,3145728,916706,3.43144373080145,3.36842105263158,3.43144,0,916736,0.000116027777720351,30,3.73080144999705e-06
30,3.4698080741231,3145728,906600,3.46922642574817,3.36842105263158,3.46923,0,906752,0.00057807412310007,152,-3.57425183006299e-06
31,3.44619105994327,3145728,912813,3.44587773415592,3.36842105263158,3.44588,0,912896,0.000311059943270298,83,-2.26584407991837e-06
32,3.45283714722256,3145728,911056,3.45265524023602,3.36842105263158,3.45266,0,911104,0.000177147222560237,48,-4.75976397984468e-06
33,3.4321288567055,3145728,916553,3.43144373080145,3.36842105263158,3.43144,0,916736,0.000688856705500118,183,3.73080144999705e-06
34,3.3156238834098,3145728,948759,3.31480981926086,3.2,3.31481,0,948992,0.000813883409799931,233,-1.80739140098751e-07
35,3.39233735646562,3145728,927304,3.39166436654706,3.36842105263158,3.39166,0,927488,0.000677356465620171,184,4.36654705993078e-06
36,3.40074658571628,3145728,925011,3.40011068068622,3.36842105263158,3.40011,0,925184,0.000636585716280003,173,6.80686219833859e-07
37,3.31400662858636,3145728,949222,3.31391585760518,3.2,3.31392,0,949248,8.66285863598826e-05,26,-4.1423948200503e-06
38,3.2551835467598,3145728,966375,3.25509933774834,3.2,3.2551,0,966400,8.3546759799713e-05,25,-6.62251660177304e-07
39,3.34592471337539,3145728,940167,3.34549414647427,3.2,3.34549,0,940288,0.000434713375390139,121,4.14647427016135e-06
40,3.30342352900407,3145728,952263,3.30322580645161,3.2,3.30323,0,952320,0.00019352900406977,57,-4.19354839031882e-06
41,3.22159000135183,3145728,976452,3.22096985583224,3.2,3.22097,0,976640,0.000620001351830268,188,-1.44167759952296e-07
42,3.28642305751529,3145728,957189,3.2855614973262,3.2,3.28556,0,957440,0.000863057515290144,251,1.49732620036147e-06
43,3.26266856677018,3145728,964158,3.26201221130873,3.2,3.26201,0,964352,0.000658566770179725,194,2.21130872990472e-06
44,3.23763473728738,3145728,971613,3.23709167544784,3.2,3.23709,0,971776,0.000544737287380137,163,1.6754478400216e-06
45,3.24342983697933,3145728,969877,3.243072050673,3.2,3.24307,0,969984,0.000359836979330286,107,2.05067300029782e-06
46,3.25250110631821,3145728,967172,3.25165387668695,3.2,3.25165,0,967424,0.000851106318209727,252,3.87668694967758e-06
47,3.18764553883569,3145728,986850,3.1875486381323,3.04761904761905,3.18755,0,986880,9.55388356902453e-05,30,-1.36186769994495e-06
48,3.04360883632367,3145728,1033552,3.04309063893016,2.90909090909091,3.04309,0,1033728,0.000518836323670335,176,6.38930160334894e-07
49,2.93924047794351,3145728,1070252,2.93900980626644,2.90909090909091,2.93901,0,1070336,0.000230477943509833,84,-1.93733560305276e-07
