frame,CR_matlab,CR_quantised,CR_pad_frame,inputBits,totalBits_q,overheadBits,CR_vitis,MaxDiff_vitis,outBits_vitis,deltaCR,predErr,padBits
16,3.40571703254766,3.40571334535793,3.404821280133,3145728,923662,32768,3.40482,0,923904,0.000893345357929842,1.28013300004781e-06,242
17,3.34804714066313,3.34805070404547,3.34731680740943,3145728,939570,32768,3.34732,0,939776,0.000730704045470265,-3.19259056968946e-06,206
18,3.26804096936025,3.26804775959384,3.26721616591332,3145728,962571,32768,3.26722,0,962816,0.000827759593839961,-3.8340866801434e-06,245
19,3.33919069106843,3.33919069106843,3.33913043478261,3145728,942063,32768,3.33913,0,942080,6.06910684299855e-05,4.34782609914919e-07,17
20,3.32401486108939,3.32401134868682,3.32377603462267,3145728,946365,32768,3.32378,0,946432,0.000231348686819732,-3.96537733005076e-06,67
21,3.30540900355262,3.305402057176,3.30500268961807,3145728,951693,32768,3.305,0,951808,0.000402057175999726,2.68961807003976e-06,115
22,3.3249318520288,3.32492833768803,3.32467532467532,3145728,946104,32768,3.32468,0,946176,0.000248337688030009,-4.6753246798481e-06,72
23,3.3869317300901,3.3869317300901,3.38605676494902,3145728,928784,32768,3.38606,0,929024,0.000871730090099998,-3.23505097998833e-06,240
24,3.44835569586951,3.44835569586951,3.44781144781145,3145728,912240,32768,3.44781,0,912384,0.00054569586950981,1.44781144983952e-06,144
25,3.39645792012127,3.39645058579263,3.39635157545605,3145728,926181,32768,3.39635,0,926208,0.00010058579263017,1.57545605006248e-06,27
26,3.45342468610749,3.45342847733011,3.45265524023602,3145728,910900,32768,3.45266,0,911104,0.000768477330109985,-4.75976397984468e-06,204
27,3.47656870795513,3.47656102356331,3.47609618104668,3145728,904839,32768,3.4761,0,904960,0.000461023563310015,-3.81895332024484e-06,121
28,3.48050373196255,3.48051913565904,3.48003398470688,3145728,903810,32768,3.48003,0,903936,0.000489135659039963,3.9847068800114e-06,126
29,3.49972131087355,3.49972131087355,3.49886104783599,3145728,898851,32768,3.49886,0,899072,0.000861310873550014,1.04783598997571e-06,221
30,3.52283714820377,3.52284109336224,3.5219260533104,3145728,892952,32768,3.52193,0,893184,0.000911093362240045,-3.94668959957656e-06,232
31,3.50004450536735,3.50004450536735,3.49985759043008,3145728,898768,32768,3.49986,0,898816,0.000184505367350152,-2.4095699200366e-06,48
32,3.51097077918817,3.51097077918817,3.51085714285714,3145728,895971,32768,3.51086,0,896000,0.000110779188169818,-2.85714286007988e-06,29
33,3.49106793078076,3.49107180510455,3.49090909090909,3145728,901078,32768,3.49091,0,901120,0.000161805104549995,-9.09090910106158e-07,42
34,3.41290375777354,3.41290375777354,3.41238544848653,3145728,921716,32768,3.41239,0,921856,0.000513757773540124,-4.55151346967497e-06,140
35,3.46463367086879,3.46462985500383,3.46433605864111,3145728,907955,32768,3.46434,0,908032,0.000289855003829942,-3.94135888992508e-06,77
36,3.46946748002898,3.46947895963983,3.46922642574817,3145728,906686,32768,3.46923,0,906752,0.000248959639829849,-3.57425183006299e-06,66
37,3.41524922292562,3.41524551506703,3.41523068371317,3145728,921084,32768,3.41523,0,921088,1.55150670297921e-05,6.8371316963578e-07,4
38,3.36580089127609,3.36578648625804,3.36565324568611,3145728,934619,32768,3.36565,0,934656,0.000136486258039969,3.24568611009823e-06,37
39,3.40804893454052,3.40803047341701,3.40765391014975,3145728,923034,32768,3.40765,0,923136,0.000380473417010307,3.91014975020809e-06,102
40,3.36942045455763,3.36941323653377,3.36934466684947,3145728,933613,32768,3.36934,0,933632,7.32365337703378e-05,4.66684947042495e-06,19
41,3.27939276990871,3.27939276990871,3.27854855923159,3145728,959241,32768,3.27855,0,959488,0.000842769908710128,-1.44076840991048e-06,247
42,3.3577210779793,3.35771390999353,3.35737704918033,3145728,936866,32768,3.35738,0,936960,0.00033390999352978,-2.95081966994459e-06,94
43,3.32194032451384,3.32196488085935,3.32108108108108,3145728,946948,32768,3.32108,0,947200,0.000884880859350012,1.08108108021199e-06,252
44,3.31321080625625,3.31320382704971,3.31302237799946,3145728,949452,32768,3.31302,0,949504,0.000183827049710317,2.3779994600126e-06,52
45,3.3357524755205,3.33574540102393,3.33550488599349,3145728,943036,32768,3.3355,0,943104,0.00024540102392967,4.88599348980046e-06,68
46,3.35112873345996,3.35112516352263,3.35096809380965,3145728,938708,32768,3.35097,0,938752,0.000155163522630009,-1.90619034956541e-06,44
47,3.29328701813454,3.2932732271215,3.29260450160772,3145728,955198,32768,3.2926,0,955392,0.000673227121499753,4.50160771992003e-06,194
48,3.1714932108449,3.1714932108449,3.17109677419355,3145728,991876,32768,3.1711,0,992000,0.000393210844900072,-3.22580644995796e-06,124
49,3.07762327455732,3.07762026356726,3.07738542449286,3145728,1022130,32768,3.07739,0,1022208,0.000230263567260192,-4.57550713983679e-06,78
