frame,CR_matlab,CR_quantised,CR_pad_frame,inputBits,totalBits_q,overheadBits
0,3.40480285396073,3.4047881131665,3.40387811634349,3145728,923913,32768
1,3.40203750567776,3.40204118491249,3.40199335548173,3145728,924659,32768
2,3.40061791521719,3.40061056291133,3.40011068068622,3145728,925048,32768
3,3.39210690050433,3.39209592719195,3.39166436654706,3145728,927370,32768
4,3.38615153100437,3.38616246589056,3.38605676494902,3145728,928995,32768
5,3.39070654810024,3.39068827438278,3.38979310344828,3145728,927755,32768
6,3.40105543464511,3.40105543464511,3.40105175754221,3145728,924927,32768
7,3.40447490146083,3.40447490146083,3.40387811634349,3145728,923998,32768
8,3.40534466669986,3.40534835309133,3.404821280133,3145728,923761,32768
9,3.40333677014239,3.40334045218791,3.40293547493769,3145728,924306,32768
10,3.40099292497708,3.40100027893641,3.40011068068622,3145728,924942,32768
11,3.39744100674903,3.39744100674903,3.39729057229748,3145728,925911,32768
12,3.3888728491832,3.38887649999838,3.3888582460011,3145728,928251,32768
13,3.38564860257271,3.38565589032368,3.38512396694215,3145728,929134,32768
14,3.3958052888897,3.39580895465674,3.39541309754076,3145728,926356,32768
15,3.42167961781777,3.42167217415707,3.42093541202673,3145728,919354,32768
16,3.40571703254766,3.40571334535793,3.404821280133,3145728,923662,32768
17,3.34804714066313,3.34805070404547,3.34731680740943,3145728,939570,32768
18,3.26804096936025,3.26804775959384,3.26721616591332,3145728,962571,32768
19,3.33919069106843,3.33919069106843,3.33913043478261,3145728,942063,32768
20,3.32401486108939,3.32401134868682,3.32377603462267,3145728,946365,32768
21,3.30540900355262,3.305402057176,3.30500268961807,3145728,951693,32768
22,3.3249318520288,3.32492833768803,3.32467532467532,3145728,946104,32768
23,3.3869317300901,3.3869317300901,3.38605676494902,3145728,928784,32768
24,3.44835569586951,3.44835569586951,3.44781144781145,3145728,912240,32768
25,3.39645792012127,3.39645058579263,3.39635157545605,3145728,926181,32768
26,3.45342468610749,3.45342847733011,3.45265524023602,3145728,910900,32768
27,3.47656870795513,3.47656102356331,3.47609618104668,3145728,904839,32768
28,3.48050373196255,3.48051913565904,3.48003398470688,3145728,903810,32768
29,3.49972131087355,3.49972131087355,3.49886104783599,3145728,898851,32768
30,3.52283714820377,3.52284109336224,3.5219260533104,3145728,892952,32768
31,3.50004450536735,3.50004450536735,3.49985759043008,3145728,898768,32768
32,3.51097077918817,3.51097077918817,3.51085714285714,3145728,895971,32768
33,3.49106793078076,3.49107180510455,3.49090909090909,3145728,901078,32768
34,3.41290375777354,3.41290375777354,3.41238544848653,3145728,921716,32768
35,3.46463367086879,3.46462985500383,3.46433605864111,3145728,907955,32768
36,3.46946748002898,3.46947895963983,3.46922642574817,3145728,906686,32768
37,3.41524922292562,3.41524551506703,3.41523068371317,3145728,921084,32768
38,3.36580089127609,3.36578648625804,3.36565324568611,3145728,934619,32768
39,3.40804893454052,3.40803047341701,3.40765391014975,3145728,923034,32768
40,3.36942045455763,3.36941323653377,3.36934466684947,3145728,933613,32768
41,3.27939276990871,3.27939276990871,3.27854855923159,3145728,959241,32768
42,3.3577210779793,3.35771390999353,3.35737704918033,3145728,936866,32768
43,3.32194032451384,3.32196488085935,3.32108108108108,3145728,946948,32768
44,3.31321080625625,3.31320382704971,3.31302237799946,3145728,949452,32768
45,3.3357524755205,3.33574540102393,3.33550488599349,3145728,943036,32768
46,3.35112873345996,3.35112516352263,3.35096809380965,3145728,938708,32768
47,3.29328701813454,3.2932732271215,3.29260450160772,3145728,955198,32768
48,3.1714932108449,3.1714932108449,3.17109677419355,3145728,991876,32768
49,3.07762327455732,3.07762026356726,3.07738542449286,3145728,1022130,32768
